id_subsistema;id_estado;nom_modalidadeoperacao;nom_conjuntousina;nom_usina;id_ons;ceg;din_instante;val_ventoverificado;flg_dadoventoinvalido;val_geracaoestimada;val_geracaoverificada
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Quina;BAEQUN;EOL.CV.BA.032364-0.01;2025-05-01 00:30:00;16.495;0.0;10.405;4.144
NE;BA;Tipo II-C;Conj. Igaporã II;Rio Verde;BAUERV;EOL.CV.BA.030341-0.01;2025-05-01 00:30:00;12.703;0.0;29.47;29.598
NE;BA;Tipo II-C;Conj. Igaporã III 500 kV;Sabiu;BAESBU;EOL.CV.BA.032108-7.01;2025-05-01 00:30:00;14.321;0.0;11.962;10.5
NE;BA;Tipo II-C;Conj. Cristal;São Judas;BAESJU;EOL.CV.BA.030725-4.01;2025-05-01 00:30:00;0.0;1.0;0.0;29.235
NE;BA;Tipo II-C;Conj. Pedra Branca;São Pedro do Lago;BAUEPL;EOL.CV.BA.030456-5.01;2025-05-01 00:30:00;6.85;0.0;12.912;18.561
NE;BA;Tipo II-C;Conj. Tamboril II;São Salvador;BAESSA;EOL.CV.BA.031120-0.01;2025-05-01 00:30:00;10.052;0.0;12.547;11.373
NE;BA;Tipo II-C;Conj. Brotas de Macaúbas;Seabra;BAUESR;EOL.CV.BA.030306-2.01;2025-05-01 00:30:00;10.028;0.0;22.155;20.733
NE;BA;Tipo II-C;Conj. Morrão;Seraíma;BAUESE;EOL.CV.BA.030546-4.01;2025-05-01 00:30:00;11.751;0.0;28.429;28.749
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia  X;BAEB10;EOL.CV.BA.032469-8.01;2025-05-01 00:30:00;11.265;0.0;25.045;27.291
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia A;BAEB0A;EOL.CV.BA.037083-5.01;2025-05-01 00:30:00;10.465;0.0;18.181;13.547
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia B;BAEB0B;EOL.CV.BA.040608-2.01;2025-05-01 00:30:00;13.261;0.0;29.275;29.392
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia C;BAEB0C;EOL.CV.BA.040609-0.01;2025-05-01 00:30:00;9.645;0.0;22.593;18.184
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia D;BAEB0D;EOL.CV.BA.040610-4.01;2025-05-01 00:30:00;13.623;0.0;27.434;19.989
NE;BA;Tipo II-C;Conj. Serra da Babilônia;Serra da Babilônia E;BAEB0E;EOL.CV.BA.040611-2.01;2025-05-01 00:30:00;9.657;0.0;22.633;20.152
