t_rel,cpu_pct,cpu_pct_host,proc_cpu_raw,cont_mem_used_gb,proc_rss_gb,ram_used_host_gb,gpu_util_pct,gpu_mem_gb,round
25.02725124359131,98.9,21.6,197.8,3.9999961853027344,2.9270248413085938,7.4381256103515625,100.0,3.91876220703125,2
26.027794361114502,99.9,21.5,199.8,3.999828338623047,2.9270248413085938,7.441463470458984,77.0,3.928955078125,2
0.0002796649932861328,0.0,0.0,0.0,3.9987525939941406,2.9267959594726562,7.443584442138672,78.0,3.932861328125,3
1.0006556510925293,100.0,20.9,214.9,3.999927520751953,2.93414306640625,7.450061798095703,79.0,3.94036865234375,3
2.0011098384857178,99.45,19.4,198.9,3.999256134033203,2.9341697692871094,7.4561614990234375,77.0,3.94268798828125,3
3.0016345977783203,98.95,18.8,197.9,3.9995079040527344,2.9342613220214844,7.452381134033203,78.0,3.93798828125,3
4.0020411014556885,99.95,18.8,199.9,3.9998321533203125,2.93426513671875,7.441280364990234,77.0,3.93634033203125,3
5.062317371368408,94.8,17.3,189.6,3.9999961853027344,2.93426513671875,7.440273284912109,77.0,3.91717529296875,3
6.062907695770264,99.45,18.6,198.9,3.999980926513672,2.934284210205078,7.441192626953125,55.0,3.89019775390625,3
7.063408136367798,99.45,23.7,198.9,3.9999923706054688,2.934284210205078,7.438945770263672,78.0,3.87298583984375,3
8.064951181411743,99.9,21.9,199.8,3.9992713928222656,2.934295654296875,7.4337310791015625,100.0,3.8690185546875,3
9.065767765045166,99.85,18.9,199.7,3.9992713928222656,2.934295654296875,7.430912017822266,100.0,3.8690185546875,3
10.066960334777832,99.9,18.7,199.8,3.9992637634277344,2.934295654296875,7.429965972900391,100.0,3.8690185546875,3
11.067490100860596,99.45,18.5,198.9,3.9997711181640625,2.934295654296875,7.424251556396484,77.0,3.8690185546875,3
12.068099975585938,100.0,19.1,201.9,3.9999961853027344,2.934295654296875,7.4251861572265625,78.0,3.8690185546875,3
13.098582029342651,62.95,12.1,125.9,3.8414230346679688,2.245655059814453,7.188022613525391,2.0,3.8690185546875,3
14.163705348968506,74.25,14.2,148.5,3.999927520751953,3.0143470764160156,7.274059295654297,78.0,3.8709716796875,3
15.165600061416626,100.0,19.1,200.3,4.0,3.0233154296875,7.2320404052734375,78.0,3.8709716796875,3
16.16608500480652,100.0,18.6,200.9,3.9992713928222656,3.0242767333984375,7.190059661865234,78.0,3.8709716796875,3
17.16705632209778,98.95,20.1,197.9,3.999034881591797,3.0246009826660156,7.162853240966797,77.0,3.8709716796875,3
18.168951511383057,99.9,18.4,199.8,3.9992713928222656,3.024951934814453,7.123714447021484,77.0,3.8709716796875,3
19.17026424407959,100.0,18.8,202.6,3.9998245239257812,3.0251998901367188,7.090847015380859,100.0,3.8709716796875,3
20.170785903930664,99.4,18.8,198.8,3.9995193481445312,3.025390625,7.057491302490234,54.0,3.8709716796875,3
21.171391487121582,99.95,18.7,199.9,3.999897003173828,3.0255470275878906,7.0291900634765625,100.0,3.8709716796875,3
22.17204761505127,99.95,19.9,199.9,3.9999427795410156,3.0260467529296875,6.993110656738281,77.0,3.8709716796875,3
23.172571420669556,99.95,19.0,199.9,3.999969482421875,3.0261497497558594,6.9784698486328125,100.0,3.8709716796875,3
24.173056602478027,100.0,18.1,200.9,3.9997901916503906,3.0262451171875,6.965309143066406,100.0,3.8709716796875,3
25.17388892173767,99.45,19.1,198.9,3.9998817443847656,3.026355743408203,6.940517425537109,100.0,3.8709716796875,3
26.175108432769775,100.0,18.5,200.8,3.999919891357422,3.0264129638671875,6.9010772705078125,77.0,3.8709716796875,3
27.175971031188965,98.9,18.7,197.8,3.999969482421875,3.026508331298828,6.889095306396484,55.0,3.863037109375,3
