Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;RJ;RIO BONITO;AUTO POSTO LUANDA LTDA;29.205.598/0001-37;RUA DOUTOR MATTOS;S/N;;CENTRO;28800-000;GASOLINA;01/07/2004;2,08;1,93;R$ / litro;ALE COMBUSTÍVEIS
SE;RJ;RIO BONITO;AUTO POSTO LUANDA LTDA;29.205.598/0001-37;RUA DOUTOR MATTOS;S/N;;CENTRO;28800-000;DIESEL;01/07/2004;1,49;1,2734;R$ / litro;ALE COMBUSTÍVEIS
SE;RJ;RIO BONITO;AUTO POSTO MUG LTDA.;31.518.202/0001-53;RUA DOUTOR MATTOS;S/N;;CENTRO;28800-000;GASOLINA;01/07/2004;2,099;1,8871;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;AUTO POSTO MUG LTDA.;31.518.202/0001-53;RUA DOUTOR MATTOS;S/N;;CENTRO;28800-000;ETANOL;01/07/2004;0,999;0,8341;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;AUTO POSTO MUG LTDA.;31.518.202/0001-53;RUA DOUTOR MATTOS;S/N;;CENTRO;28800-000;DIESEL;01/07/2004;1,48;1,2801;R$ / litro;RAIZEN
SE;RJ;RIO BONITO;POSTO CONTINENTAL DE SERVICOS LTDA - EPP;29.552.916/0001-36;AVENIDA MANOEL DUARTE;495;;CENTRO;28800-000;GASOLINA;01/07/2004;2,098;1,859;R$ / litro;CBPI
SE;RJ;RIO BONITO;POSTO CONTINENTAL DE SERVICOS LTDA - EPP;29.552.916/0001-36;AVENIDA MANOEL DUARTE;495;;CENTRO;28800-000;ETANOL;01/07/2004;1,039;0,6133;R$ / litro;CBPI
SE;RJ;RIO BONITO;POSTO CONTINENTAL DE SERVICOS LTDA - EPP;29.552.916/0001-36;AVENIDA MANOEL DUARTE;495;;CENTRO;28800-000;DIESEL;01/07/2004;1,409;1,2844;R$ / litro;CBPI
SE;RJ;RIO BONITO;POSTO IMBIARA LTDA;28.620.540/0001-97;RODOVIA RJ 124;S/N;KM 13 E 14;BOA ESPERANCA - 2º DISTRITO;28810-000;GASOLINA;01/07/2004;2,278;1,86208;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO IMBIARA LTDA;28.620.540/0001-97;RODOVIA RJ 124;S/N;KM 13 E 14;BOA ESPERANCA - 2º DISTRITO;28810-000;ETANOL;01/07/2004;1,077;0,93;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO IMBIARA LTDA;28.620.540/0001-97;RODOVIA RJ 124;S/N;KM 13 E 14;BOA ESPERANCA - 2º DISTRITO;28810-000;DIESEL;01/07/2004;1,438;1,2693;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO RIO ESTORIL LTDA - ME;27.188.960/0001-83;RODOVIA BR 101;S/N;KM 264;PRIMEIRO;28800-000;GASOLINA;01/07/2004;2,12;;R$ / litro;IPIRANGA
SE;RJ;RIO BONITO;POSTO RIO ESTORIL LTDA - ME;27.188.960/0001-83;RODOVIA BR 101;S/N;KM 264;PRIMEIRO;28800-000;DIESEL;01/07/2004;1,42;;R$ / litro;IPIRANGA
SE;RJ;RIO BONITO;POSTO INDIANO LTDA ME;04.680.091/0001-04;RODOVIA BR 101;S/N;KM 269,5;RIO DOS INDIOS;28800-000;GASOLINA;01/07/2004;2,099;1,84938;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO INDIANO LTDA ME;04.680.091/0001-04;RODOVIA BR 101;S/N;KM 269,5;RIO DOS INDIOS;28800-000;ETANOL;01/07/2004;1,099;0,93;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO INDIANO LTDA ME;04.680.091/0001-04;RODOVIA BR 101;S/N;KM 269,5;RIO DOS INDIOS;28800-000;DIESEL;01/07/2004;1,399;1,2586;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO H B LTDA;01.280.004/0001-33;AVENIDA MARTINHO DE ALMEIDA;28;;CENTRO;28800-000;GASOLINA;01/07/2004;2,05;;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO H B LTDA;01.280.004/0001-33;AVENIDA MARTINHO DE ALMEIDA;28;;CENTRO;28800-000;ETANOL;01/07/2004;0,93;;R$ / litro;BRANCA
SE;RJ;RIO BONITO;POSTO H B LTDA;01.280.004/0001-33;AVENIDA MARTINHO DE ALMEIDA;28;;CENTRO;28800-000;DIESEL;01/07/2004;1,39;;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;SALGADO & CARVALHO LTDA;04.133.840/0001-83;ESTRADA SAO FRANCISCO-MANGUINHOS;S/N;;GUAXINDIBA;28230-000;GASOLINA;01/07/2004;2,14;1,8768;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;SALGADO & CARVALHO LTDA;04.133.840/0001-83;ESTRADA SAO FRANCISCO-MANGUINHOS;S/N;;GUAXINDIBA;28230-000;ETANOL;01/07/2004;0,98;1,107;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;SALGADO & CARVALHO LTDA;04.133.840/0001-83;ESTRADA SAO FRANCISCO-MANGUINHOS;S/N;;GUAXINDIBA;28230-000;DIESEL;01/07/2004;1,41;1,27;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;AUTO POSTO TAT ED TRAVESSAO DE BARRA LTDA;04.154.458/0001-56;RODOVIA BARRA SAO FRANCISCO DO ITABAPOANA;S/N;;SÃO FRANCISCO;28230-000;GASOLINA;01/07/2004;2,13;;R$ / litro;BRANCA
SE;RJ;SAO FRANCISCO DE ITABAPOANA;AUTO POSTO TAT ED TRAVESSAO DE BARRA LTDA;04.154.458/0001-56;RODOVIA BARRA SAO FRANCISCO DO ITABAPOANA;S/N;;SÃO FRANCISCO;28230-000;ETANOL;01/07/2004;0,96;;R$ / litro;BRANCA
