Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S21096700012,09/09/2014,4924,Abby Lea's,"2757, CHARLES CITY RD",NASHUA,50658,POINT (-92.547524 42.959023),19,Chickasaw,1081700,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",86684,Firefly Apple Pie Moonshine,12,750,9.88,14.82,4,59.28,3.00,0.79
S11961100015,05/01/2013,4166,Jesup Food Center,1314  7TH ST,JESUP,50648,POINT (-92.062259 42.469327),10,Buchanan,1081365,TROPICAL FRUIT SCHNAPPS,421,"Sazerac Co., Inc.",83906,Maui Blue Hawaiian Schnapps,12,750,3.67,5.50,4,22.00,3.00,0.79
S06390000133,07/03/2012,3495,Great Pastimes,228 N MAIN ST,MONTICELLO,52310,POINT (-91.183413 42.24013200000001),53,Jones,1031080,VODKA 80 PROOF,297,Laird And Company,35917,Five O'clock Vodka,12,1000,4.01,6.01,4,24.04,4.00,1.06
S08508700008,10/23/2012,3952,Lot-A-Spirits,3780 STATE ST,BETTENDORF,52722,POINT (-90.48065 41.529655),82,Scott,1011200,STRAIGHT BOURBON WHISKIES,297,Laird And Company,18407,G & W Bourbon,12,1000,5.09,7.64,12,91.68,12.00,3.17
S25088300052,04/15/2015,3573,Quik Shop Foods / Four M In,405 S MADISON,OTTUMWA,52501,POINT (-92.41041400000002 40.999034),90,Wapello,1081015,IMPORTED AMARETTO,130,Disaronno International LLC,64136,Disaronno Amaretto,12,750,13.86,20.79,2,41.58,1.50,0.40
S26327100008,06/22/2015,3782,Bender Foods / Guttenburg,619 S HWY 52,GUTTENBURG,52052,POINT (-91.100489 42.77964),22,Clayton,1011100,BLENDED WHISKIES,65,Jim Beam Brands,24457,Kessler Blend Whiskey,12,1000,7.08,10.62,12,127.44,12.00,3.17
S29219400005,11/21/2015,4559,Osage Payless Foods,"633, CHASE ST",OSAGE,50461,POINT (-92.811539 43.285134),66,Mitchell,1031080,VODKA 80 PROOF,55,Sazerac North America,35948,Fleischmann's Royal Vodka 80 Prf,6,1750,7.18,10.77,24,258.48,42.00,11.10
S13966800019,08/19/2013,4019,Wal-Mart 1506 / Manchester,1220 WEST MAIN,MANCHESTER,52057,,28,Delaware,1062310,SPICED RUM,259,Heaven Hill Brands,43026,Admiral Nelson Spiced Rum,12,750,5.77,8.66,12,103.92,9.00,2.38
S25382500062,04/29/2015,3778,Family Pantry,4538 LOWER BEAVER RD,DES MOINES,50310,POINT (-93.665871 41.638673),77,Polk,1062200,PUERTO RICO & VIRGIN ISLANDS RUM,35,"Bacardi U.S.A., Inc.",43031,Bacardi Gold Rum Mini,12,500,5.54,8.31,2,16.62,1.00,0.26
S04065200006,02/14/2012,2367,Spencer's Grocery,101 SOUTH BURNETT,SHENANDOAH,51601,POINT (-95.381935 40.765934),73,Page,1012100,CANADIAN WHISKIES,115,"Constellation Wine Company, Inc.",11777,Black Velvet,12,1000,6.63,9.94,12,119.28,12.00,3.17
